Epoch,Flag,Clock Offset [s],SV,RINEX Code,Value,LLI,SNR
2025-01-08T19:44:37 GST,0,None,E13,D1B,6.976060000000E2,None,None
2025-01-08T19:44:37 GST,0,None,E13,S1B,1.730000000000E-1,None,None
2025-01-08T19:44:37 GST,0,None,E13,C1B,-6.022000000000E0,None,None
2025-01-08T19:44:37 GST,0,None,E13,L1B,-2.153913900000E4,None,None
2025-01-08T19:44:37 GST,0,None,E15,D1B,4.245033000000E3,None,None
2025-01-08T19:44:37 GST,0,None,E15,S1B,3.690000000000E-1,None,None
2025-01-08T19:44:37 GST,0,None,E15,C1B,-8.059000000000E0,None,None
2025-01-08T19:44:37 GST,0,None,E15,L1B,-3.335846000000E3,None,None
2025-01-08T19:44:37 GST,0,None,E27,D1B,1.080000000000E-1,None,None
2025-01-08T19:44:37 GST,0,None,E27,S1B,4.140000000000E-1,None,None
2025-01-08T19:44:37 GST,0,None,E27,C1B,-5.110000000000E0,None,None
2025-01-08T19:44:37 GST,0,None,E27,L1B,2.399940000000E2,None,None
2025-01-08T19:44:38 GST,0,None,E13,C1B,-8.738000000000E0,None,None
2025-01-08T19:44:38 GST,0,None,E13,L1B,-2.223609600000E4,None,None
2025-01-08T19:44:38 GST,0,None,E13,D1B,6.964620000000E2,None,None
2025-01-08T19:44:38 GST,0,None,E13,S1B,1.480000000000E-1,None,None
2025-01-08T19:44:38 GST,0,None,E15,C1B,-1.041800000000E1,None,None
2025-01-08T19:44:38 GST,0,None,E15,L1B,-7.581633000000E3,None,None
2025-01-08T19:44:38 GST,0,None,E15,D1B,4.246770000000E3,None,None
2025-01-08T19:44:38 GST,0,None,E15,S1B,5.460000000000E-1,None,None
2025-01-08T19:44:38 GST,0,None,E27,C1B,-9.471000000000E0,None,None
2025-01-08T19:44:38 GST,0,None,E27,L1B,2.399980000000E2,None,None
2025-01-08T19:44:38 GST,0,None,E27,D1B,3.620000000000E-1,None,None
2025-01-08T19:44:38 GST,0,None,E27,S1B,8.080000000000E-1,None,None
2025-01-08T19:44:39 GST,0,None,E13,C1B,-6.754000000000E0,None,None
2025-01-08T19:44:39 GST,0,None,E13,L1B,-2.293229700000E4,None,None
2025-01-08T19:44:39 GST,0,None,E13,S1B,2.460000000000E-1,None,None
2025-01-08T19:44:39 GST,0,None,E13,D1B,6.948790000000E2,None,None
2025-01-08T19:44:39 GST,0,None,E15,C1B,-7.451000000000E0,None,None
2025-01-08T19:44:39 GST,0,None,E15,L1B,-1.182788600000E4,None,None
2025-01-08T19:44:39 GST,0,None,E15,S1B,7.270000000000E-1,None,None
2025-01-08T19:44:39 GST,0,None,E15,D1B,4.245941000000E3,None,None
2025-01-08T19:44:39 GST,0,None,E27,C1B,-8.899000000000E0,None,None
2025-01-08T19:44:39 GST,0,None,E27,L1B,2.399880000000E2,None,None
2025-01-08T19:44:39 GST,0,None,E27,S1B,1.020000000000E0,None,None
2025-01-08T19:44:39 GST,0,None,E27,D1B,2.537000000000E0,None,None
2025-01-08T19:44:40 GST,0,None,E13,D1B,6.944720000000E2,None,None
2025-01-08T19:44:40 GST,0,None,E13,S1B,5.390000000000E-1,None,None
2025-01-08T19:44:40 GST,0,None,E13,C1B,-8.220000000000E0,None,None
2025-01-08T19:44:40 GST,0,None,E13,L1B,-2.362762100000E4,None,None
2025-01-08T19:44:40 GST,0,None,E15,D1B,4.245936000000E3,None,None
2025-01-08T19:44:40 GST,0,None,E15,S1B,7.060000000000E-1,None,None
2025-01-08T19:44:40 GST,0,None,E15,C1B,-6.736000000000E0,None,None
2025-01-08T19:44:40 GST,0,None,E15,L1B,-1.607477500000E4,None,None
2025-01-08T19:44:40 GST,0,None,E27,D1B,1.330000000000E-1,None,None
2025-01-08T19:44:40 GST,0,None,E27,S1B,6.370000000000E-1,None,None
2025-01-08T19:44:40 GST,0,None,E27,C1B,-5.575000000000E0,None,None
2025-01-08T19:44:40 GST,0,None,E27,L1B,2.399920000000E2,None,None
2025-01-08T19:44:41 GST,0,None,E13,L1B,-2.432224900000E4,None,None
2025-01-08T19:44:41 GST,0,None,E13,S1B,7.580000000000E-1,None,None
2025-01-08T19:44:41 GST,0,None,E13,C1B,-7.738000000000E0,None,None
2025-01-08T19:44:41 GST,0,None,E13,D1B,6.942820000000E2,None,None
2025-01-08T19:44:41 GST,0,None,E15,L1B,-2.032208200000E4,None,None
2025-01-08T19:44:41 GST,0,None,E15,S1B,1.077000000000E0,None,None
2025-01-08T19:44:41 GST,0,None,E15,C1B,-5.986000000000E0,None,None
2025-01-08T19:44:41 GST,0,None,E15,D1B,4.247861000000E3,None,None
2025-01-08T19:44:41 GST,0,None,E27,L1B,2.399920000000E2,None,None
2025-01-08T19:44:41 GST,0,None,E27,S1B,7.190000000000E-1,None,None
2025-01-08T19:44:41 GST,0,None,E27,C1B,-3.985000000000E0,None,None
2025-01-08T19:44:41 GST,0,None,E27,D1B,1.970000000000E-1,None,None
